"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Авторизация","1","0","Авторизации недействительные учетные данные","0"
"0","","0","Авторизация","2","0","Авторизация действительные учетные данные","0"
